timestamp,id_medicion,temperatura_C,humedad_relativa_pct,CO2_ppm,PM1_ug_m3,PM2_5_ug_m3,PM4_ug_m3,PM10_ug_m3,latitude,longitude,elevation,status
2026-01-27T14:25:17+00:00,2205,19.92446,67.16589,591.0,1.618709,2.618273,3.397717,3.762482,,,,
2026-01-27T14:25:39+00:00,2206,19.93519,67.48633,592.0,1.489038,2.417939,3.143032,3.482364,,,,
2026-01-27T14:26:02+00:00,2207,19.92446,67.53973,595.0,1.68154,2.744256,3.574891,3.963614,,,,
2026-01-27T14:26:24+00:00,2208,19.90301,67.67706,597.0,1.534226,2.514895,3.282266,3.641382,,,,
2026-01-27T14:26:47+00:00,2209,19.89229,67.78387,600.0,1.557992,2.573202,3.369097,3.741563,,,,
2026-01-27T14:27:09+00:00,2210,19.88156,67.78387,602.0,1.659697,2.760796,3.625512,4.030184,,,,
2026-01-27T14:27:31+00:00,2211,19.86011,67.78387,603.0,1.624435,2.696712,3.53839,3.93228,,,,
2026-01-27T14:27:54+00:00,2212,19.84939,67.78387,604.0,1.677182,2.771367,3.629273,4.030759,,,,
2026-01-27T14:28:16+00:00,2213,19.83866,67.76099,603.0,1.350626,2.215094,2.891626,3.208232,,,,
2026-01-27T14:28:39+00:00,2214,19.82793,67.70758,603.0,1.60374,2.588207,3.355409,3.714446,,,,
2026-01-27T14:29:01+00:00,2215,19.81721,67.65417,604.0,1.456552,2.331116,3.011097,3.329317,,,,
2026-01-27T14:29:24+00:00,2216,19.81721,67.81439,607.0,1.410776,2.255241,2.911605,3.218772,,,,
2026-01-27T14:29:46+00:00,2217,19.80648,67.78387,607.0,1.877402,3.001965,3.8761,4.28518,,,,
2026-01-27T14:30:09+00:00,2218,19.79576,67.84491,605.0,1.695287,2.699299,3.478784,3.84357,,,,
2026-01-27T14:30:31+00:00,2219,19.78503,67.84491,604.0,1.621217,2.607022,3.37451,3.733681,,,,
2026-01-27T14:30:53+00:00,2220,19.77431,67.81439,601.0,1.558832,2.517517,3.264771,3.614474,,,,
2026-01-27T14:31:16+00:00,2221,19.76358,67.95172,600.0,1.326098,2.137693,2.769979,3.065878,,,,
2026-01-27T14:31:38+00:00,2222,19.75286,68.00513,604.0,1.467427,2.353686,3.043184,3.365857,,,,
2026-01-27T14:32:01+00:00,2223,19.74213,68.08905,600.0,1.40528,2.248672,2.904385,3.211247,,,,
2026-01-27T14:32:23+00:00,2224,19.73141,68.19586,603.0,1.374568,2.191175,2.825374,3.122169,,,,
2026-01-27T14:32:46+00:00,2225,19.72068,68.11194,609.0,1.60806,2.580059,3.336328,3.690249,,,,
2026-01-27T14:33:08+00:00,2226,19.70996,68.11194,606.0,1.547071,2.501316,3.245333,3.59352,,,,
2026-01-27T14:33:30+00:00,2227,19.69923,68.11194,601.0,1.361108,2.154684,2.769746,3.057584,,,,
